routecode,stopcode,tripdirection,long,lat
2,48,1,8.51051388888889,47.3781736111111
2,48,2,8.51051388888889,47.3781736111111
2,137,1,8.48299583333333,47.3889858333333
2,137,2,8.48299583333333,47.3889858333333
2,440,1,8.54582055555556,47.3667766666667
2,440,2,8.54582055555556,47.3667766666667
2,478,1,8.52586861111111,47.3739463888889
2,478,2,8.52586861111111,47.3739463888889
2,601,1,8.53984277777778,47.3683719444444
2,601,2,8.53984277777778,47.3683719444444
2,615,1,8.54176583333333,47.3666086111111
2,615,2,8.54176583333333,47.3666086111111
2,821,1,8.47936138888889,47.3907547222222
2,821,2,8.47936138888889,47.3907547222222
2,832,1,8.55231833333333,47.3602916666667
2,832,2,8.55231833333333,47.3602916666667
2,883,1,8.49987083333333,47.3830302777778
2,883,2,8.49987083333333,47.3830302777778
2,917,1,8.55700111111111,47.355065
2,917,2,8.55700111111111,47.355065
2,1026,1,8.49031888888889,47.3868955555556
2,1026,2,8.49031888888889,47.3868955555556
2,1286,1,8.55483611111111,47.3578836111111
2,1286,2,8.55483611111111,47.3578836111111
2,1357,1,8.52153222222222,47.3742838888889
2,1357,2,8.52153222222222,47.3742838888889
2,1364,1,8.49511694444444,47.3850619444444
2,1364,2,8.49511694444444,47.3850619444444
2,1456,1,8.54991055555556,47.3629144444444
2,1456,2,8.54991055555556,47.3629144444444
2,1548,1,8.50382,47.3811588888889
2,1548,2,8.50382,47.3811588888889
2,1570,1,8.48684527777778,47.3887352777778
2,1570,2,8.48684527777778,47.3887352777778
2,1579,1,8.51772777777778,47.3753444444444
2,1579,2,8.51772777777778,47.3753444444444
2,1845,1,8.54772305555556,47.3653102777778
2,1845,2,8.54772305555556,47.3653102777778
2,1861,1,8.53938055555555,47.3697255555556
2,1861,2,8.53938055555555,47.3697255555556
2,2396,1,8.53512555555556,47.37206
2,2396,2,8.53512555555556,47.37206
2,2556,1,8.53029722222222,47.3735897222222
2,2556,2,8.53029722222222,47.3735897222222
2,2907,1,8.5588925,47.3531038888889
2,2907,2,8.5588925,47.3531038888889
2,3019,1,8.51399138888889,47.3765941666667
2,3019,2,8.51399138888889,47.3765941666667
2,3041,1,8.56126166666667,47.3499594444444
2,3041,2,8.56126166666667,47.3499594444444
2,6030,1,8.52163222222222,47.3733386111111
2,6030,2,8.52163222222222,47.3733386111111
2,6425,2,8.49138388888889,47.3838097222222
3,47,1,8.48507888888889,47.3743230555556
3,47,2,8.48507888888889,47.3743230555556
3,48,1,8.51051388888889,47.3781736111111
3,48,2,8.51051388888889,47.3781736111111
3,412,1,8.54050777777778,47.3768480555556
3,412,2,8.54050777777778,47.3768480555556
3,478,1,8.52586861111111,47.3739463888889
3,478,2,8.52586861111111,47.3739463888889
3,619,1,8.544565,47.3764586111111
3,619,2,8.544565,47.3764586111111
3,840,1,8.48879722222222,47.3755305555556
3,840,2,8.48879722222222,47.3755305555556
3,883,1,8.49987083333333,47.3830302777778
3,1251,1,8.55527222222222,47.3692313888889
3,1251,2,8.55527222222222,47.3692313888889
3,1252,1,8.49953694444445,47.3768897222222
3,1252,2,8.49953694444445,47.3768897222222
3,1278,1,8.563195,47.3657002777778
3,1278,2,8.563195,47.3657002777778
3,1357,1,8.52153222222222,47.3742838888889
3,1357,2,8.52153222222222,47.3742838888889
3,1364,1,8.49511694444444,47.3850619444444
3,1364,2,8.49511694444444,47.3850619444444
3,1366,1,8.53456472222222,47.3763380555556
3,1366,2,8.53456472222222,47.3763380555556
3,1430,1,8.56673861111111,47.3642266666667
3,1430,2,8.56673861111111,47.3642266666667
3,1446,1,8.50801611111111,47.3777561111111
3,1446,2,8.50801611111111,47.3777561111111
3,1472,1,8.54916722222222,47.3704416666667
3,1472,2,8.54916722222222,47.3704416666667
3,1548,1,8.50382,47.3811588888889
3,1579,1,8.51772777777778,47.3753444444444
3,1579,2,8.51772777777778,47.3753444444444
3,1608,1,8.537525,47.3760488888889
3,1608,2,8.537525,47.3760488888889
3,1724,1,8.54739888888889,47.3726444444444
3,1724,2,8.54739888888889,47.3726444444444
3,2124,1,8.56037083333333,47.3680216666667
3,2124,2,8.56037083333333,47.3680216666667
3,2385,1,8.49428805555556,47.3786469444444
3,2385,2,8.49428805555556,47.3786469444444
3,2556,1,8.53029722222222,47.3735897222222
3,2556,2,8.53029722222222,47.3735897222222
3,3019,1,8.51399138888889,47.3765941666667
3,3019,2,8.51399138888889,47.3765941666667
3,6030,1,8.52163222222222,47.3733386111111
3,6030,2,8.52163222222222,47.3733386111111
3,6425,2,8.49138388888889,47.3838097222222
4,7,1,8.50270361111111,47.3922511111111
4,7,2,8.50270361111111,47.3922511111111
4,48,1,8.51051388888889,47.3781736111111
4,48,2,8.51051388888889,47.3781736111111
4,412,1,8.54050777777778,47.3768480555556
4,412,2,8.54050777777778,47.3768480555556
4,413,1,8.54203305555555,47.3776161111111
4,413,2,8.54203305555555,47.3776161111111
4,440,1,8.54582055555556,47.3667766666667
4,440,2,8.54582055555556,47.3667766666667
4,478,1,8.52586861111111,47.3739463888889
4,478,2,8.52586861111111,47.3739463888889
4,619,1,8.544565,47.3764586111111
4,619,2,8.544565,47.3764586111111
4,648,1,8.52623944444444,47.3882272222222
4,648,2,8.52623944444444,47.3882272222222
4,718,1,8.51087277777778,47.3900888888889
4,718,2,8.51087277777778,47.3900888888889
4,799,1,8.52358638888889,47.3899791666667
4,799,2,8.52358638888889,47.3899791666667
4,832,1,8.55231833333333,47.3602916666667
4,832,2,8.55231833333333,47.3602916666667
4,883,1,8.49987083333333,47.3830302777778
